,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
2,Viwandani,"""42","400""",50,0
3,Woodley /Kenyatta Golf Course,"""39","377""",58,1
4,Embakasi North,"""43","000""",59,1
5,Airbase,"""12","000""",72,1
6,Kwa Njenga,"""42","500""",89,1
7,Mabatini,"""14","000""",53,1
8,Harambee,"""27","000""",41,1
9,Hospital,"""27","000""",77,1
10,Kasarani,"""51","890""",60,0
11,California,"""20","000""",53,1
12,Uthiru/Ruthi,"""36","037""",113,0
13,Eastleigh South,"""46","000""",34,1
14,Viwandani,"""19","000""",57,1
15,Sarangombe,"""48","100""",97,0
16,Kariobangi South,"""13","000""",85,0
17,Ngando,"""22","000""",102,1
18,Mathare South,"""11","000""",79,0
19,Hospital,"""42","000""",84,1
20,Kayole South,"""21","000""",105,1
21,Nyayo Highrise,"""29","000""",84,0
22,Mathare South,"""50","800""",61,1
23,Ruiru,"""82","972""",93,1
24,Eastleigh South,"""90","017""",50,0
25,Kabiro,"""43","000""",103,1
26,Kayole Central,"""46","200""",66,1
27,Airbase,"""42","972""",65,0
28,Embakasi South,"""42","200""",55,0
29,Njiru,"""17","000""",68,1
30,Komarock,"""16","000""",112,0
31,Korogocho,"""44","400""",76,0
32,Ruai,"""10","000""",63,1
33,Ngando,"""44","600""",43,1
34,Kariobangi South,"""41","500""",53,1
35,Clay City,"""42","000""",70,0
36,South C,"""38","918""",84,1
37,Kayole South,"""42","600""",106,1
38,Gatina,"""21","000""",57,1
39,Riruta,"""44","200""",52,0
40,Sarangombe,"""40","500""",118,0
41,Korogocho,"""43","600""",68,1
42,Ruai,"""43","600""",100,1
43,Kware,"""43","400""",59,1
44,Mountain View,"""16","000""",88,1
45,Karen,"""42","400""",96,1
46,Makadara,"""44","400""",73,0
47,Imara Daima,"""52","600""",95,0
48,Umoja II,"""45","600""",57,0
49,Matopeni/Spring Valley,"""46","400""",61,0
50,Eastleigh South,"""109","890""",78,1
51,Mowlem,"""45","800""",107,0
52,Komarock,"""21","000""",102,1
53,Kiamaiko,"""52","500""",70,0
54,Komarock,"""26","000""",65,0
55,Kayole South,"""17","000""",105,1
56,Pangani,"""42","972""",79,0
57,Nairobi Central,"""21","000""",76,1
58,Embakasi East,"""44","000""",64,0
59,Sarangombe,"""50","800""",103,1
60,Sarangombe,"""27","000""",34,0
61,Kayole South,"""46","174""",118,0
62,Githurai,"""21","000""",79,0
63,Kahawa West,"""11","000""",35,0
64,Hospital,"""13","000""",58,1
65,Maringo/Hamza,"""42","000""",70,0
66,Kasarani,"""63","000""",88,1
67,Umoja I,"""44","200""",102,1
68,Lucky Summer,"""18","000""",55,1
69,Athi River,"""17","000""",48,0
70,Mugumu-Ini,"""21","000""",41,0
71,Kasarani,"""45","000""",66,1
72,Dandora Area I,"""82","972""",98,1
73,Kawangware,"""63","000""",88,1
74,Korogocho,"""38","918""",99,1
75,Embakasi Central,"""42","600""",77,0
76,Kawangware,"""41","800""",50,0
77,Mwiki,"""50","800""",55,1
78,Dandora Area I,"""42","400""",102,1
79,Dandora Area I,"""45","200""",106,1
80,Nairobi South,"""22","000""",103,0
81,Uthiru/Ruthi,"""18","000""",85,1
82,Kibera,"""39","377""",66,1
83,Kayole South,"""44","600""",54,1
84,Kayole North,"""48","000""",105,0
85,Kariobangi South,"""55","500""",108,1
86,Huruma,"""38","918""",64,1
87,Roysambu,"""16","000""",63,0
88,Nairobi South,"""51","890""",104,0
89,Nairobi South,"""42","400""",57,1
90,Embakasi East,"""46","800""",92,1
91,Komarock,"""13","000""",95,1
92,Dandora Area II,"""51","890""",51,0
93,Mountain View,"""48","997""",63,1
94,Airbase,"""41","700""",115,1
95,Ziwani/Kariokor,"""62","600""",55,1
96,Kariobangi South,"""45","200""",82,0
97,Kileleshwa,"""43","600""",107,0
98,Makongeni,"""48","000""",45,0
99,Nyayo Highrise,"""48","997""",50,0
100,Kangemi,"""43","000""",30,0
101,Kayole Central,"""44","000""",57,0
102,Njiru,"""24","000""",72,0
103,Kahawa,"""15","000""",66,0
104,Hospital,"""39","377""",112,1
105,Kayole South,"""25","000""",94,1
106,Utawala,"""17","000""",86,1
107,Lower Savannah,"""10","000""",73,1
108,Kahawa West,"""50","800""",74,1
109,Kibera,"""18","000""",97,1
110,Kayole Central,"""18","000""",93,1
111,Eastleigh South,"""36","037""",66,0
112,Pipeline,"""43","800""",45,0
113,Laini saba,"""10","000""",59,0
114,Viwandani,"""62","583""",59,1
115,Dandora Area IV,"""55","500""",69,1
116,Kayole Central,"""46","000""",110,1
117,Mugumu-Ini,"""62","600""",72,1
118,Karen,"""29","000""",45,1
119,Embakasi North,"""82","972""",85,1
120,Imara Daima,"""22","000""",85,1
121,Embakasi,"""27","000""",105,0
122,Harambee,"""55","500""",71,1
123,Eastleigh North,"""123","000""",108,1
124,Pipeline,"""12","000""",102,1
125,Eastleigh North,"""231","700""",94,0
126,Mountain View,"""36","037""",63,0
127,Airbase,"""44","918""",82,0
128,Kware,"""109","890""",116,0
129,Ziwani/Kariokor,"""48","100""",81,1
130,Laini saba,"""12","000""",40,0
131,Harambee,"""22","000""",68,0
132,Kabiro,"""26","000""",90,1
133,Embakasi South,"""46","174""",96,1
134,Ngara,"""44","600""",71,1
135,Nairobi West,"""23","000""",44,1
136,Zimmerman,"""44","000""",49,1
137,Kware,"""45","000""",66,1
138,Dandora Area II,"""15","000""",54,1
139,California,"""77","378""",59,1
140,Kilimani,"""48","000""",56,1
141,Pipeline,"""20","000""",72,0
142,Mathare North,"""44","000""",39,0
143,Nairobi West,"""46","174""",72,0
144,Mutu-ini,"""19","000""",58,0
145,Landimawe,"""43","800""",106,1
146,Baba Dogo,"""44","918""",48,0
147,Makadara,"""18","000""",37,0
148,Kiamaiko,"""39","377""",62,0
149,Gatina,"""42","200""",51,1
150,Kabiro,"""13","000""",67,1
151,Ngara,"""44","000""",61,1
152,Kibera,"""22","000""",108,1
153,Dandora Area IV,"""12","000""",105,1
154,Maringo/Hamza,"""42","500""",86,1
155,Kahawa West,"""45","200""",122,0
156,Dandora Area I,"""12","000""",42,1
157,Eastleigh North,"""82","972""",54,1
158,California,"""22","000""",73,1
159,Ngei,"""45","000""",79,0
160,Laini saba,"""13","000""",39,0
161,Baba Dogo,"""11","000""",46,0
162,Lower Savannah,"""44","918""",45,0
163,Mugumu-Ini,"""40","500""",90,0
164,Kangemi,"""45","800""",54,0
165,Sarangombe,"""43","800""",89,0
166,Pumwani,"""12","000""",44,0
167,Eastleigh South,"""45","600""",61,0
168,Gatina,"""12","000""",42,0
169,Pipeline,"""44","000""",65,1
170,Airbase,"""42","300""",59,0
171,Dandora Area II,"""52","500""",97,0
172,Karen,"""13","000""",50,0
173,South C,"""17","000""",55,0
174,Dandora Area I,"""51","890""",41,0
175,Mowlem,"""62","600""",62,0
176,Embakasi,"""23","000""",67,0
177,Riruta,"""11","000""",45,1
178,Nairobi Central,"""42","300""",47,1
179,Kileleshwa,"""39","377""",81,1
180,Kayole Central,"""22","000""",71,1
181,Harambee,"""44","600""",102,1
182,Ruiru,"""14","000""",43,1
183,Ngando,"""40","500""",97,1
184,Kabiro,"""52","600""",98,0
185,Zimmerman,"""16","000""",55,0
186,Landimawe,"""42","400""",111,0
187,South C,"""45","600""",53,0
188,Laini saba,"""17","000""",126,1
189,Makadara,"""20","000""",98,1
190,Pangani,"""13","000""",74,0
191,Embakasi North,"""43","200""",109,1
192,Syokimau,"""90","017""",58,0
193,Kariobangi South,"""43","200""",50,0
194,Mowlem,"""15","000""",95,0
195,Embakasi East,"""43","000""",116,1
196,Kahawa West,"""26","000""",46,0
197,Landimawe,"""123","000""",62,0
198,Nyayo Highrise,"""9","000""",61,0
199,Sarangombe,"""16","000""",97,0
200,Viwandani,"""36","037""",42,1
201,Pumwani,"""43","600""",100,1
202,California,"""24","000""",33,0
203,Mutu-ini,"""29","000""",103,1
204,Mathare North,"""17","000""",53,1
205,Starehe,"""10","000""",107,1
206,Parklands/Highridge,"""44","918""",80,0
207,Upper Savannah,"""82","972""",74,0
208,Roysambu,"""11","000""",50,0
209,Dandora Area II,"""82","972""",112,1
210,Kwa Njenga,"""45","400""",62,0
211,Kayole South,"""44","000""",44,0
212,Kabiro,"""17","000""",84,0
213,Kariobangi South,"""12","000""",97,1
214,Mutu-ini,"""46","400""",64,1
215,Kamukunji,"""109","890""",194,1
216,Mwiki,"""42","200""",94,0
217,Sarangombe,"""46","600""",52,0
218,Makongeni,"""90","017""",62,0
219,Pipeline,"""63","000""",85,1
220,Pumwani,"""82","972""",113,1
221,Maringo/Hamza,"""38","918""",79,1
222,Upper Savannah,"""45","200""",41,0
223,Kamukunji,"""44","000""",66,0
224,Roysambu,"""39","377""",66,1
225,Roysambu,"""44","000""",72,1
226,Gatina,"""23","000""",49,0
227,Embakasi South,"""12","000""",66,0
228,Kwa Ruben,"""109","890""",43,0
229,Umoja II,"""14","000""",65,1
230,Kayole Central,"""55","500""",100,1
231,Embakasi Central,"""29","000""",77,0
232,Uthiru/Ruthi,"""65","574""",96,1
233,Huruma,"""19","000""",45,1
234,Imara Daima,"""43","400""",48,1
235,Mwiki,"""22","000""",89,0
236,Nyayo Highrise,"""16","000""",71,1
237,Utalii,"""40","500""",60,0
238,Pumwani,"""16","000""",61,0
239,South C,"""41","700""",113,0
240,Eastleigh North,"""42","500""",61,1
241,Westlands,"""42","600""",71,1
242,Ngei,"""13","000""",56,0
243,Baba Dogo,"""41","800""",90,1
244,Laini saba,"""55","500""",65,0
245,Dandora Area II,"""41","500""",105,1
246,Pipeline,"""40","500""",92,0
247,Kware,"""65","574""",62,1
248,Matopeni/Spring Valley,"""42","200""",34,0
249,Hospital,"""12","000""",77,0
250,Mlango Kubwa,"""42","800""",63,0
251,Uthiru/Ruthi,"""42","600""",105,1
252,Thika,"""16","000""",53,0
253,Zimmerman,"""43","200""",50,0
254,Ngei,"""43","400""",90,0
255,Kwa Njenga,"""15","000""",49,1
256,Njiru,"""90","017""",61,1
257,Sarangombe,"""45","000""",97,1
258,Nairobi West,"""46","174""",48,1
259,Airbase,"""63","000""",66,1
260,Kilimani,"""46","174""",69,0
261,Woodley /Kenyatta Golf Course,"""42","400""",115,0
262,Imara Daima,"""26","000""",70,1
263,Uthiru/Ruthi,"""20","000""",65,1
264,Kayole South,"""20","000""",62,0
265,Utalii,"""21","000""",66,0
266,Airbase,"""25","000""",95,1
267,Umoja I,"""44","400""",92,1
268,Eastleigh North,"""41","500""",108,1
269,Nairobi Central,"""21","000""",110,1
270,Ngando,"""51","890""",122,1
271,Nairobi South,"""41","500""",110,1
272,Embakasi East,"""48","000""",67,1
273,Pangani,"""40","500""",116,1
274,Makongeni,"""231","700""",60,0
275,Kayole South,"""44","000""",74,0
276,Kitisuru,"""25","000""",97,1
277,Syokimau,"""50","800""",72,1
278,Kamukunji,"""21","000""",63,1
279,Baba Dogo,"""13","000""",82,0
280,Upper Savannah,"""10","000""",78,0
281,Makadara,"""65","574""",112,0
282,Baba Dogo,"""82","972""",71,1
283,Makongeni,"""42","400""",98,0
284,Kahawa,"""14","000""",62,0
285,Kwa Ruben,"""45","200""",60,0
286,Woodley /Kenyatta Golf Course,"""24","000""",65,1
287,Baba Dogo,"""82","972""",75,1
288,Nyayo Highrise,"""40","500""",64,1
289,Mabatini,"""12","000""",67,0
290,Mlango Kubwa,"""41","600""",104,1
291,Huruma,"""11","000""",63,0
292,Gatina,"""45","800""",105,0
293,Embakasi North,"""42","400""",100,1
294,Uthiru/Ruthi,"""90","017""",56,1
295,Kitisuru,"""24","000""",96,1
296,Uthiru/Ruthi,"""43","800""",102,1
297,Lindi Makina,"""52","600""",93,0
298,Kamukunji,"""27","000""",46,0
299,Njiru,"""11","000""",62,1
300,Embakasi North,"""46","000""",106,1
301,Kariobangi North,"""46","600""",75,1
302,Harambee,"""42","600""",80,0
303,Mutu-ini,"""39","377""",79,1
304,Kileleshwa,"""50","800""",59,0
305,Airbase,"""43","000""",92,1
306,Sarangombe,"""50","800""",78,0
307,Njiru,"""45","600""",96,1
308,Kayole South,"""18","000""",67,0
309,Kahawa West,"""77","378""",66,0
310,Airbase,"""42","300""",72,1
311,Mabatini,"""48","000""",62,0
312,Imara Daima,"""24","000""",56,1
313,Baba Dogo,"""48","100""",43,0
314,Kamukunji,"""43","200""",62,0
315,Starehe,"""45","600""",104,1
316,Woodley /Kenyatta Golf Course,"""52","500""",81,1
317,Mwiki,"""16","000""",105,1
318,Upper Savannah,"""42","600""",56,0
319,Sarangombe,"""43","400""",77,0
320,Eastleigh North,"""50","800""",89,1
321,Pangani,"""17","000""",90,1
322,Kasarani,"""46","400""",93,0
323,Sarangombe,"""41","700""",72,0
324,Riruta,"""20","000""",72,0
325,Harambee,"""48","100""",70,0
326,Imara Daima,"""46","174""",93,0
327,Nyayo Highrise,"""48","997""",97,0
328,Harambee,"""42","600""",54,0
329,California,"""17","000""",55,1
330,Embakasi North,"""82","972""",75,1
331,Nyayo Highrise,"""23","000""",47,1
332,Kariobangi North,"""42","400""",68,0
333,Dandora Area II,"""9","000""",89,0
334,Sarangombe,"""45","000""",59,1
335,Starehe,"""43","800""",45,0
336,Kayole Central,"""19","000""",59,1
337,Gatina,"""46","400""",58,0
338,Gatina,"""43","200""",59,1
339,Woodley /Kenyatta Golf Course,"""46","600""",96,0
340,Kariobangi South,"""51","890""",106,1
341,Mowlem,"""15","000""",67,1
342,Baba Dogo,"""42","400""",95,1
343,Pumwani,"""52","500""",91,1
344,Mihango,"""50","800""",77,0
345,Ngando,"""18","000""",103,0
346,Matopeni/Spring Valley,"""14","000""",28,0
347,Maringo/Hamza,"""36","037""",97,0
348,Mihango,"""52","500""",55,0
349,Ngando,"""24","000""",99,0
350,Githurai,"""41","700""",83,1
351,Mowlem,"""62","600""",66,1
352,Harambee,"""45","800""",56,1
353,Umoja I,"""23","000""",65,0
354,Mlango Kubwa,"""42","600""",95,0
355,Kahawa West,"""14","000""",84,0
356,Viwandani,"""9","000""",56,0
357,California,"""123","000""",93,0
358,Kilimani,"""65","574""",62,1
359,Kayole South,"""42","400""",44,1
360,Korogocho,"""42","600""",50,0
361,Harambee,"""14","000""",77,1
362,Karen,"""48","997""",106,1
363,Mountain View,"""26","000""",70,0
364,South C,"""23","000""",42,0
365,Mountain View,"""48","997""",40,0
366,Roysambu,"""21","000""",44,0
367,Laini saba,"""38","918""",41,0
368,Makongeni,"""45","800""",116,1
369,Karen,"""44","918""",53,1
370,Gatina,"""42","972""",49,1
371,Lindi Makina,"""18","000""",50,0
